id,date,value,f500,seg,f125,lMin,f1000,f8000,f4000,soundExpLVL,ram,lPeak,hora,f63,memo,timeStamp,f31,f2000,lMax,min,global,cpu,temp,f250
"C06lct7WIdrs1VXhiI5s","2021-08-31T15:35:01.000Z",71.94,63.88,46,55.83,57.74,66.86,52.97,63.4,74.02,80.9,88.48,12,49.69,19.09,1630424101,44.5,65.95,77.01,34,71.94,7.4,60.15,61.78
"T6MkNQko71mAFliVjpRp","2021-08-31T15:33:00.000Z",77.24,73.99,46,57.43,62.05,69.7,54.39,66.3,79.32,80.9,104.16,12,49.74,19.08,1630423980,43.29,68.65,90.24,32,77.24,7.4,60.15,67.84
"SW0E8AX8QTJOGadJIIE2","2021-08-31T15:31:00.000Z",77.38,74.15,46,58.28,59.43,69.88,53.68,66.05,79.46,80.9,104.16,12,49.72,19.1,1630423860,42.26,68.62,90.24,30,77.38,7.7,60.15,68.2
"BvWFZZ0gbC2eHwMb8t1r","2021-08-31T15:29:01.000Z",72.83,66.1,47,57.46,57.02,65.8,54.87,64.85,74.91,80.9,94.94,12,50.33,19.1,1630423741,45.22,66.97,77.09,28,72.83,7,60.15,63.62
"gUS1NnfMPyzTV4qqk8Ey","2021-08-31T15:27:01.000Z",72.48,64.89,46,56.34,59.05,65.53,55.14,65.39,74.56,80.9,93.93,12,50.26,19.07,1630423621,45.29,67.06,76.83,26,72.48,7.8,60.15,62.08
"JuUXih0U4okn68Kram0W","2021-08-31T15:25:01.000Z",71.37,63.32,46,55.49,56.56,64.42,52.06,65.63,73.45,80.9,94.71,12,50.05,19.15,1630423501,43.01,65.37,79.53,24,71.37,7.5,60.15,60.23
"5NtQ2LBkBqr2Gc1bY5WT","2021-08-31T15:23:01.000Z",71.33,62.81,46,54.86,59.63,64.18,52.59,65.87,73.41,80.9,94.71,12,49.32,19.11,1630423381,44.38,65.64,79.53,22,71.33,7.3,60.15,59.65
"ppthtf9vNDCNBsVabvNx","2021-08-31T15:21:01.000Z",72.03,64.43,47,55.32,57.73,65.31,55.26,65.16,74.11,80.9,96.9,12,49.35,19.07,1630423261,44.96,66.41,78.93,20,72.03,7.7,60.15,61.26
"qHPHicbXs4vh5oDMrO95","2021-08-31T15:19:01.000Z",73.3,65.77,47,56.62,58.79,66.97,56.32,65.8,75.38,80.9,96.9,12,50.53,19.1,1630423141,44.58,67.62,78.93,18,73.3,7.4,60.15,63.01
"MBFTrPwFoV3MirHXFNGD","2021-08-31T15:17:01.000Z",72.64,64.89,46,55.55,60.2,66.83,54.77,64.75,74.72,80.9,92.75,12,49.3,19.13,1630423021,42.39,67.08,74.71,16,72.64,7.4,60.15,62.03
"60Cp5Jhf6719YWtPxpkA","2021-08-31T15:15:01.000Z",72.16,65.85,46,54.93,58.14,66.26,52.41,63.02,74.24,80.9,92.75,12,47.3,19.14,1630422901,40.68,65.71,77.31,14,72.16,7.5,60.15,63.2
"uQt8jop2psmmlSvTFTaq","2021-08-31T15:13:00.000Z",72.15,66.1,46,56.27,54.29,66.38,50.88,62.17,74.23,80.9,91.69,12,47.37,19.12,1630422780,40.09,65.42,77.31,12,72.15,7.3,60.15,63.52
"sLQcpssRUFVlXFDLGFtr","2021-08-31T15:11:01.000Z",71.59,64.25,47,57.14,59.18,65.4,54.12,63.55,73.67,80.9,92.57,12,49.7,19.13,1630422661,43.26,65.61,74.88,10,71.59,7.3,60.15,61.8
"O2x9VDZB2pa3tFFTDsyu","2021-08-31T15:09:01.000Z",71.06,63.34,46,56.13,57.57,64.57,54.33,63.52,73.13,80.9,92.57,12,49.39,19.09,1630422541,44.25,65.4,74.86,8,71.06,7.6,60.15,60.85
"qLGtzriUNOduzADdHuO2","2021-08-31T15:07:01.000Z",71.34,64.16,46,54.21,57.59,65.71,52.06,62.68,73.42,80.9,88.19,12,48.22,19.14,1630422421,43.98,65.68,73.47,6,71.34,7.3,60.15,60.89
"WztNEuTzSQxQeVU59e4C","2021-08-31T15:05:00.000Z",71.94,64.29,46,56.22,62.07,66.02,54.75,63.84,74.02,80.9,97.53,12,49.41,19.13,1630422300,45.07,66.25,77.41,4,71.94,7.9,60.15,61.73
"w55fWBELQtyPynaOZVGz","2021-08-31T15:03:01.000Z",71.25,64.16,47,56.27,56.47,65.39,53.81,62.43,73.33,80.9,97.53,12,48.9,19.13,1630422181,43.2,65.12,77.41,2,71.25,7.3,60.15,61.78
"bzpfzLaRMAZrMM6VadyG","2021-08-31T15:01:01.000Z",77.07,71.98,47,58.48,57.7,70.13,53.78,67.35,79.15,80.9,107.77,12,49.87,19.13,1630422061,41.66,71.11,89.78,"",77.07,7.3,60.15,67.41
"3whJnpJdJHw2Tife9avR","2021-08-31T14:59:01.000Z",77.09,71.88,47,58.58,54.73,70.11,54.4,67.7,79.17,80.8,107.77,11,50.41,19.15,1630421941,42.94,71.21,89.78,58,77.09,7.2,60.15,67.26
"W1hVtW5uWEMIEEYSRr5i","2021-08-31T14:57:00.000Z",72.42,65.01,46,56.82,56.95,66.56,54.43,64.54,74.5,80.9,96.55,11,50.28,19.12,1630421820,42.91,66.38,79,56,72.42,7.1,60.15,62.28
"Bv9JNUl0ncCu72rFAfMG","2021-08-31T14:55:00.000Z",73.34,65.99,46,58.07,57.99,67.14,55.77,65.52,75.42,80.9,96.55,11,51.08,19.14,1630421700,43.81,67.43,79,54,73.34,7.1,59.07,63.39
"cCELP3d0rQe5LVWREMN8","2021-08-31T14:53:00.000Z",72.22,65.07,46,57.03,59.48,65.69,53.72,63.96,74.3,80.9,90.62,11,50.4,19.13,1630421580,44.43,66.65,76.05,52,72.22,7.4,60.15,62.46
"9UxUByfgy0upTKT4dSxc","2021-08-31T14:51:01.000Z",70.84,64.2,47,55.23,60.45,64.75,50.63,61.85,72.92,80.9,89.39,11,47.82,19.13,1630421461,44.02,65.07,72.88,50,70.84,7.3,59.07,60.91
"0DiGFVdnsv50iCeH4HLe","2021-08-31T14:49:01.000Z",71.45,64.09,47,54.3,59.89,65.3,55.86,64.07,73.53,80.9,98.26,11,47.39,19.1,1630421341,43.74,65.5,78.13,48,71.45,7.3,59.61,60.64
"WqnmOVO4qqFbQuKri7aO","2021-08-31T14:47:00.000Z",72.37,64.75,46,56.44,57.57,65.88,57.92,65.33,74.45,80.9,98.26,11,49.78,19.12,1630421220,44.15,66.43,78.13,46,72.37,7.6,59.07,61.53
"K2gQ6iWFfZpl0Mz5okTY","2021-08-31T14:45:00.000Z",73.12,66.42,46,59.03,61.07,66.53,55.82,64.64,75.2,80.8,95.59,11,50.87,19.17,1630421100,44.14,67.06,77.84,44,73.12,7.4,59.07,63.69
"VYtQ7asYYqN2DNfvq2aH","2021-08-31T14:43:00.000Z",72.58,65.53,46,59.44,57.29,65.98,52.27,63.77,74.66,80.8,90.63,11,51.59,19.16,1630420980,43.51,66.8,77.76,42,72.58,7.5,60.15,63.46
"ESC3owUqjiozyLRcpi8e","2021-08-31T14:41:01.000Z",71.73,63.51,47,57.23,56.08,65.9,51.93,63.56,73.81,80.9,92.97,11,50.53,19.13,1630420861,44.07,66.31,77.4,40,71.73,7,60.15,61.43
"BO4O0E6HVnyqfSuJZFR0","2021-08-31T14:39:00.000Z",72.38,65.1,46,54.59,54.53,66.97,52.59,63.42,74.46,80.8,92.97,11,48.15,19.15,1630420740,44.03,66.53,77.4,38,72.38,7.3,59.07,62.62
"QdmOnz3gVaZsO3JTCAVv","2021-08-31T14:37:00.000Z",72.66,65.59,46,56.48,58.23,66.69,55.16,63.4,74.74,80.9,89.71,11,51.17,19.15,1630420620,45.98,66.85,75.07,36,72.66,7,59.07,63.39
"MHWaIerP3lak7BgmYOFQ","2021-08-31T14:35:00.000Z",72.98,65.22,47,57.62,59.99,66.25,55.92,65.09,75.06,80.8,93.07,11,51.91,19.18,1630420500,46.7,67.4,75.87,34,72.98,7.2,59.07,63.84
"mMB4OzvE9hnyaELzV6Bq","2021-08-31T14:33:01.000Z",74.14,66.36,47,59.83,62.51,67.55,55.38,66.09,76.22,80.8,93.07,11,51.54,19.17,1630420381,45.1,68.39,78.74,32,74.14,7,58.53,65.4
"KsZ1OCpHFQN6gb1gOvxo","2021-08-31T14:31:00.000Z",73.16,65.44,47,59.68,61.47,67.07,53.65,64.31,75.24,80.8,91.71,11,51.49,19.17,1630420260,44.27,67.45,78.74,30,73.16,7.2,58.53,64.01
"Mx1DUeCOpll4MVEQpreh","2021-08-31T14:29:00.000Z",73.41,65.8,46,56.45,59.12,67.54,52.5,65.08,75.49,80.8,100.04,11,49.13,19.16,1630420140,42.07,68.26,84.8,28,73.41,6.9,58.53,62.55
"rKt0ITf3TESpTsatiOTX","2021-08-31T14:27:00.000Z",73.97,66.53,46,56.47,57.21,67.93,53.34,65.85,76.05,80.8,100.04,11,48.82,19.21,1630420020,39.97,68.65,84.8,26,73.97,7.2,58,63.65
"7Ut14LqFhfKm1YoT3AvM","2021-08-31T14:25:00.000Z",72.2,65.78,46,55.93,57.18,65.69,51.47,62.74,74.28,80.8,95.66,11,48.63,19.18,1630419900,39.77,65.6,81.43,24,72.2,7.3,58,64.75
"0vUkuKIWnMhbjREj9Gpt","2021-08-31T14:23:00.000Z",72.74,65.85,46,55.06,52.61,66.33,53.4,64.18,74.82,80.8,95.66,11,48.81,19.17,1630419780,43.51,66.53,81.43,22,72.74,7.4,58.53,64.6
"qtTNPfae4DbeXK4dOaKK","2021-08-31T14:21:00.000Z",72.61,64.55,46,55.28,60.29,66.95,54.38,65.03,74.69,80.8,91.52,11,49.44,19.22,1630419660,44.79,67.08,76.24,20,72.61,7.3,58,61.53
"0fUwtbQc20xfWz5ViOOp","2021-08-31T14:19:00.000Z",71.25,63.37,46,54.28,60.57,65.75,52.5,63.39,73.32,80.8,88.76,11,47.83,19.19,1630419540,42.2,65.66,74.6,18,71.25,7.1,57.46,60.03
"ad8MMqwu4uoR9mzXtktX","2021-08-31T14:17:01.000Z",71.4,63.34,47,56.27,56,65.32,51.45,64.21,73.48,80.8,97.5,11,47.91,19.21,1630419421,42.14,65.78,78.43,16,71.4,7.4,58,60.7
"wZg2M0Os7dUdm7oOFww6","2021-08-31T14:15:00.000Z",73.17,65.11,46,57,58.77,66.84,53.18,65.92,75.25,80.8,97.5,11,49.66,19.21,1630419300,45.43,68.08,79.53,14,73.17,7.1,58,61.79
"thTrMPYi2STjunT7cbKl","2021-08-31T14:13:01.000Z",73.35,65.32,47,56.18,61.67,66.97,54.09,65.9,75.43,80.8,91.62,11,50.38,19.2,1630419181,46.73,68.41,79.53,12,73.35,7.4,57.46,62.1
"ZbD21LI6Jf8rtt5Xz3gK","2021-08-31T14:11:00.000Z",72.21,63.65,46,55.28,60.84,65.83,53.48,65.03,74.29,80.8,90.36,11,49.8,19.19,1630419060,45.79,67.28,75.96,10,72.21,8.2,57.46,61.05
"rgl27zgNxRfTrmNEAQyC","2021-08-31T14:09:00.000Z",73.32,64.42,46,56.96,62.2,66.18,55.03,67.26,75.4,80.8,103.65,11,49.5,19.24,1630418940,44.73,68.26,83.17,8,73.32,7.7,56.92,62.08
"48zMCY4U8lk42pvVXlPP","2021-08-31T14:07:00.000Z",74.65,67.13,46,59.89,57.11,67.13,55.39,67.4,76.73,80.8,103.65,11,50.9,19.21,1630418820,44.19,68.71,83.17,6,74.65,7.3,56.92,66.52
"ENzf1oH1FwCBZyekgCaX","2021-08-31T14:05:01.000Z",72.95,66.2,47,58.76,58.65,65.84,52.68,63.82,75.03,80.7,95.1,11,50.36,19.26,1630418701,43.11,66.54,80.07,4,72.95,7.2,56.92,65.74
"0Qzk068eqXln16mSVFpr","2021-08-31T14:03:00.000Z",70.54,62.88,46,55.02,56.45,64.33,52.6,62.62,72.62,80.8,93.54,11,49.52,19.22,1630418580,43.82,65.02,74.35,2,70.54,7.4,56.92,60.19
"mJ4QX4SqntRLrFwJ7Nn4","2021-08-31T14:01:00.000Z",72.03,64.6,46,55.56,58.33,65.8,53.39,64.33,74.11,80.8,93.54,11,51.13,19.24,1630418460,45.54,66.4,74.35,"",72.03,7.5,56.92,61.65
"sB8s6Rr2UjvRD1sRKmEy","2021-08-31T13:59:01.000Z",73.78,67.12,47,58.9,58.87,67.49,52.87,64.94,75.86,80.8,98.58,10,50.64,19.24,1630418341,44.32,67.61,84.52,58,73.78,7.6,56.92,64.92
"raZAUJcpkzt6C723LQrB","2021-08-31T13:57:01.000Z",73.55,66.65,47,60.05,56.07,67.42,52.89,64,75.63,80.8,98.58,10,48.89,19.21,1630418221,42.27,67.41,84.52,56,73.55,7.7,56.92,65.03
"VCXVEIH0gkFiKZX15m4M","2021-08-31T13:55:00.000Z",72.68,65.15,46,59.9,60.99,66.65,53.42,63.49,74.76,80.8,93.75,10,49.38,19.21,1630418100,43.18,66.71,76.07,54,72.68,7.7,55.84,63.85
"TUz5W4VtIlZNHABZMEdI","2021-08-31T13:53:00.000Z",74.62,68.37,46,59.45,63.52,66.74,53.45,65.12,76.7,80.9,95.6,10,49.74,19.15,1630417980,42.98,67.11,82.13,52,74.62,7.3,55.84,68.92
"J9kLrblL3B7WWo3mOjKj","2021-08-31T13:51:00.000Z",73.61,67.54,46,56.16,52.58,65.59,51.08,64.03,75.69,80.8,95.6,10,47.55,19.22,1630417860,42.1,65.83,82.13,50,73.61,7.6,55.84,68.25
"kbTWBt7KZ6VsYMooNSNc","2021-08-31T13:49:01.000Z",70.67,63.54,47,53.14,57.29,65.7,48.64,61.38,72.75,80.8,89.37,10,46.4,19.24,1630417741,40.59,64.78,72.21,48,70.67,7.7,56.38,59.91
"BxoLtlYHae3nBM1kzPeZ","2021-08-31T13:47:00.000Z",71.51,64.69,47,54.88,57.49,66.13,50.57,62.44,73.59,80.8,94.58,10,47.82,19.21,1630417620,39.95,65.36,74.94,46,71.51,7.2,55.84,61.52
"Km9I9miqn78b9ADmgedw","2021-08-31T13:45:00.000Z",72.66,66.39,46,57.51,55.59,66.39,53.06,63.56,74.74,80.8,98.27,10,48.66,19.23,1630417500,42.2,66.12,77.83,44,72.66,7.3,56.38,64.02
"x49ut4ahUbvq8aKCM38F","2021-08-31T13:43:00.000Z",73.34,66.54,46,58.5,62.52,66.88,54.45,64.56,75.42,80.7,98.27,10,49.9,19.26,1630417380,46.91,67.34,77.83,42,73.34,7.2,55.84,64.39
"os0ga4YCN98POgUyAaPG","2021-08-31T13:41:00.000Z",72.69,64.78,46,58.14,61.32,66.51,55.2,64.75,74.77,80.8,99.18,10,50.89,19.25,1630417260,46.62,66.98,78.1,40,72.69,7.5,55.84,62.91
"Zkq7X9Rez3q1Z6bxA9v4","2021-08-31T13:39:01.000Z",72.27,64.56,47,57.9,57.49,66.68,54.92,64.11,74.35,80.7,99.18,10,50.2,19.29,1630417141,41.63,66,78.1,38,72.27,7.7,55.84,62.43
"lGDcaDmj8zgSYEMxZwZT","2021-08-31T13:37:00.000Z",72.26,64.62,46,57.8,60.07,66.76,53.68,63.95,74.34,80.8,94.69,10,48.54,19.24,1630417020,44.13,66.29,75.59,36,72.26,7.5,55.84,61.83
"wZiLAuWI7WqK01NoXm3v","2021-08-31T13:35:00.000Z",72.06,64.04,46,57.53,61.38,66.55,52.95,63.64,74.14,80.7,94.69,10,49.05,19.28,1630416900,44.54,66.48,75.59,34,72.06,7,55.84,61.37
"GT1CLLYY64Nsxe0zaPqZ","2021-08-31T13:33:00.000Z",70.82,62.82,46,55.14,60.61,65.69,50.84,61.64,72.9,80.8,91.68,10,47.89,19.22,1630416780,40.71,65.38,74.71,32,70.82,7,55.84,60.15
"D1pLcxURRutBjwMOT5aO","2021-08-31T13:31:01.000Z",71.53,64.34,47,54.65,53.7,65.7,51.52,62.62,73.61,80.7,89.92,10,48.83,19.32,1630416661,43.81,65.87,76.11,30,71.53,6.8,55.84,61.93
"LvAUWX0FAJYpNJls95eE","2021-08-31T13:29:00.000Z",72.8,65.42,47,57.82,56.74,66.35,53.03,64.67,74.88,80.7,90.24,10,50.19,19.35,1630416540,44.31,66.77,76.27,28,72.8,7.3,55.84,64.17
"shODbH8iFOAyLge2cMcU","2021-08-31T13:27:00.000Z",72.71,65.26,46,57.77,57.75,66.54,53,64.64,74.79,80.7,90.24,10,49.9,19.28,1630416420,45.59,66.68,76.27,26,72.71,7.4,55.84,63.62
"K38tmBlqMbyxDKdX9p06","2021-08-31T13:25:00.000Z",72.68,65.35,46,58.12,63,66.76,52.82,63.78,74.76,80.7,98.58,10,49.73,19.28,1630416300,45.51,66.57,77.13,24,72.68,7.5,55.84,63.91
"WI2grUjOegMQSZ34udy4","2021-08-31T13:23:00.000Z",72.42,64.58,46,57.56,58.17,66.3,53.14,64.08,74.5,80.7,98.58,10,48.33,19.28,1630416180,41.74,66.76,77.13,22,72.42,7.8,55.31,63.37
"5tsAme3xtCzBZPrPgAoM","2021-08-31T13:21:00.000Z",71.9,63.69,47,53.82,59.59,65.94,53.79,64.74,73.98,80.7,96.99,10,48.21,19.33,1630416060,43.97,66.58,77.13,20,71.9,7.4,55.84,60.47
"Hx792T01yprHRF0Me0qn","2021-08-31T13:19:00.000Z",72.8,64,46,56.32,57.44,65.94,52.63,65.73,74.88,80.7,96.39,10,51.56,19.27,1630415940,44.7,68.29,83.44,18,72.8,7,55.31,61.28
"WI7uj8LvwhZ6CeGtquH3","2021-08-31T13:17:00.000Z",72.29,63.6,46,56.16,59.25,65.36,51.16,64.82,74.37,80.7,96.39,10,51.51,19.26,1630415820,43.11,67.97,83.44,16,72.29,7.1,55.31,60.75
"fy73zBu8jX0KPs4Zr6WJ","2021-08-31T13:15:00.000Z",70.29,62.38,46,55.15,52.43,64.51,49.99,61.36,72.37,80.7,88.31,10,48.32,19.28,1630415700,40.62,64.29,73.72,14,70.29,7.1,55.31,62
"uQf8PDoT0RV30Um46Wdg","2021-08-31T13:13:01.000Z",70.72,62.92,47,56.63,55.73,64.58,50.24,62.14,72.8,80.7,88.31,10,50.15,19.28,1630415581,42.77,64.58,73.72,12,70.72,6.8,55.31,62.49
